Sample 	Run #	ID	LPS added	Pre-treatment	Sample Type	Main ingredient	Food type	replicate
NEG	4M38F8	4M38F8_46	no	no treatment	negative control	NA	NA	replicate_6
NEG	53JTN4	53JTN4_23	no	no treatment	negative control	NA	NA	replicate_9
NEG	53JTN4	53JTN4_46	no	no treatment	negative control	NA	NA	replicate_10
NEG	DNWTWM	DNWTWM_23	no	no treatment	negative control	NA	NA	replicate_1
NEG	M6PXYP	M6PXYP_11	no	no treatment	negative control	NA	NA	replicate_2
NEG	NQGVPS	NQGVPS_23	no	no treatment	negative control	NA	NA	replicate_3
NEG	NQGVPS	NQGVPS_46	no	no treatment	negative control	NA	NA	replicate_4
NEG	Z6YWP9	Z6YWP9_23	no	no treatment	negative control	NA	NA	replicate_11
NEG	Z6YWP9	Z6YWP9_46	no	no treatment	negative control	NA	NA	replicate_12
FF0180	Z6YWP9	Z6YWP9_17	yes	NY natto black	NY natto black	soybean	natto	replicate_1
FF0180	Z6YWP9	Z6YWP9_40	yes	NY natto black	NY natto black	soybean	natto	replicate_2
100uM PLA	44R9PF	44R9PF_4	yes	Phenyllactic acid	Phenyllactic acid	NA	NA	replicate_1
100uM PLA	44R9PF	44R9PF_12	yes	Phenyllactic acid	Phenyllactic acid	NA	NA	replicate_2
FF0245	4M38F8	4M38F8_5	yes	Piima yogurt	Piima yogurt	milk	yogurt	replicate_1
FF0245	4M38F8	4M38F8_28	yes	Piima yogurt	Piima yogurt	milk	yogurt	replicate_2
FF0225	NQGVPS	NQGVPS_8	yes	Rachel Sourdough	Rachel Sourdough	wheat	sourdough	replicate_1
FF0225	NQGVPS	NQGVPS_31	yes	Rachel Sourdough	Rachel Sourdough	wheat	sourdough	replicate_2
FF0170	DNWTWM	DNWTWM_6	yes	raw cabbage	raw cabbage	cabbage	cabbage	replicate_1
FF0170	M6PXYP	M6PXYP_5	yes	raw cabbage	raw cabbage	cabbage	cabbage	replicate_2
FF0169	DNWTWM	DNWTWM_11	yes	raw cucumber	raw cucumber	cucumber	cucumber	replicate_1
FF0169	M6PXYP	M6PXYP_3	yes	raw cucumber	raw cucumber	cucumber	cucumber	replicate_2
FF0171	DNWTWM	DNWTWM_16	yes	raw napa cabbage	raw napa cabbage	cabbage	cabbage	replicate_1
FF0171	M6PXYP	M6PXYP_7	yes	raw napa cabbage	raw napa cabbage	cabbage	cabbage	replicate_2
FF0172	Z6YWP9	Z6YWP9_9	yes	rejuvelac	rejuvelac	rye berries	rejuvelac	replicate_1
