autogenerated integer,autogenerated integer,autopopulated from order,text field,"""yes"" or leave blank","""yes"" or leave blank",optional text field,optional text field,optional text field,mandatory if DNA isolation selected,0.0 ng/ul,text field,text field,"for variant calling and starts with ""GCF_"" or ""GCA_""",url (preferred) or exact file name,optional text field,Bioinformatics Service,
Order ID,SeqCoast Tube ID,Service Selection,Requester Name,DNA Extraction,Variant Calling,Project Name,Sample Name,Species Name,"Sample Type (please enter ""frozen cell pellet"" OR ""sealed pre-grown agar plate"")",DNA concentration in ng/ul (Qubit recommended),DNA quantification method (Qubit Nanodrop etc.),DNA elution buffer (water TE etc.),Genome accession number,If Variant Calling selected please provide a link or reference genome file name here (upload files during checkout),Sample Notes,Bioinformatics Service,
7857,240,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,240,kabocha kasuzuke (5yr),food sample in Zymo DNA/RNA later,,,,,,,,
7857,241,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,241,kombucha,food sample in Zymo DNA/RNA later,,,,,,,,
7857,242,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,242,carrot nukazuke,food sample in Zymo DNA/RNA later,,,,,,,,
7857,243,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,243,Filmjolk yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,244,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,244,Matsoni yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,245,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,245,Piima yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,246,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,246,Viili yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,249,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,249,dosa batter,food sample in Zymo DNA/RNA later,,,,,,,,
7857,251,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,251,millet dosa batter,food sample in Zymo DNA/RNA later,,,,,,,,
7857,252,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,252,kefir grains,food sample in Zymo DNA/RNA later,,,,,,,,
7857,253,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,253,water kefir grains,food sample in Zymo DNA/RNA later,,,,,,,,
7857,256,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,256,fermented black beans (douchi),food sample in Zymo DNA/RNA later,,,,,,,,
7857,257,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,257,fermented black garlic,food sample in Zymo DNA/RNA later,,,,,,,,
7857,258,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,258,sorghum dosa batter,food sample in Zymo DNA/RNA later,,,,,,,,
7857,260,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,260,ragi dosa batter,food sample in Zymo DNA/RNA later,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
