fastq_1,fastq_2,sample_number,sample_description,sample_name,fermented_food
7857_234_S253_R1.fastq.gz,7857_234_S253_R2.fastq.gz,234,Gochujang,FF0234_gochujang,gochujang
7857_235_S254_R1.fastq.gz,7857_235_S254_R2.fastq.gz,235,"Turmeric, Ginger, Jalepeno sauerkraut","FF0235_turmeric,_ginger,_jalepeno_sauerkraut",sauerkraut
7857_236_S255_R1.fastq.gz,7857_236_S255_R2.fastq.gz,236,morel mushroom miso,FF0236_morel_mushroom_miso,miso
7857_237_S256_R1.fastq.gz,7857_237_S256_R2.fastq.gz,237,cultured sea kraut,FF0237_cultured_sea_kraut,sauerkraut
7857_238_S257_R1.fastq.gz,7857_238_S257_R2.fastq.gz,238,amazake,FF0238_amazake,amazake
7857_239_S258_R1.fastq.gz,7857_239_S258_R2.fastq.gz,239,jalapeno kasuzuke (18mo),FF0239_jalapeno_kasuzuke_(18mo),kasuzuke
7857_240_S259_R1.fastq.gz,7857_240_S259_R2.fastq.gz,240,kabocha kasuzuke (5yr),FF0240_kabocha_kasuzuke_(5yr),kasuzuke
7857_241_S260_R1.fastq.gz,7857_241_S260_R2.fastq.gz,241,kombucha,FF0241_kombucha,kombucha
7857_242_S261_R1.fastq.gz,7857_242_S261_R2.fastq.gz,242,carrot nukazuke,FF0242_carrot_nukazuke,nukazuke
7857_243_S262_R1.fastq.gz,7857_243_S262_R2.fastq.gz,243,Filmjolk yogurt,FF0243_filmjolk_yogurt,yogurt
7857_244_S263_R1.fastq.gz,7857_244_S263_R2.fastq.gz,244,Matsoni yogurt,FF0244_matsoni_yogurt,yogurt
7857_245_S264_R1.fastq.gz,7857_245_S264_R2.fastq.gz,245,Piima yogurt,FF0245_piima_yogurt,yogurt
7857_246_S265_R1.fastq.gz,7857_246_S265_R2.fastq.gz,246,Viili yogurt,FF0246_viili_yogurt,yogurt
7857_249_S266_R1.fastq.gz,7857_249_S266_R2.fastq.gz,249,dosa batter,FF0249_dosa_batter,dosa
7857_251_S267_R1.fastq.gz,7857_251_S267_R2.fastq.gz,251,millet dosa batter,FF0251_millet_dosa_batter,dosa
7857_252_S268_R1.fastq.gz,7857_252_S268_R2.fastq.gz,252,kefir grains,FF0252_kefir_grains,kefir
7857_253_S269_R1.fastq.gz,7857_253_S269_R2.fastq.gz,253,water kefir grains,FF0253_water_kefir_grains,kefir
7857_256_S270_R1.fastq.gz,7857_256_S270_R2.fastq.gz,256,fermented black beans (douchi),FF0256_fermented_black_beans_(douchi),douchi
7857_258_S271_R1.fastq.gz,7857_258_S271_R2.fastq.gz,258,sorghum dosa batter,FF0258_sorghum_dosa_batter,dosa
7857_260_S272_R1.fastq.gz,7857_260_S272_R2.fastq.gz,260,ragi dosa batter,FF0260_ragi_dosa_batter,dosa
