fastq_1,fastq_2,sample_name,fermented_food,food_category
7857_159_S214_R1.fastq.gz,7857_159_S214_R2.fastq.gz,"FF0159_mother_in_law's_kimchi,_vegan",kimchi,vegetable
7741_015_S40_R1.fastq.gz,7741_015_S40_R2.fastq.gz,"FF0160_mother in law's kimchi, house",kimchi,vegetable
7857_161_S215_R1.fastq.gz,7857_161_S215_R2.fastq.gz,FF0161_queens_beachu_kimchi,kimchi,vegetable
7741_016_S41_R1.fastq.gz,7741_016_S41_R2.fastq.gz,FF0162_cultured napa cabbage kimchi,kimchi,vegetable
7857_163_S216_R1.fastq.gz,7857_163_S216_R2.fastq.gz,FF0163_cultured_sweet_white_miso,miso,soy
7857_164_S217_R1.fastq.gz,7857_164_S217_R2.fastq.gz,FF0164_aedan_japanese_fermented_country_miso,miso,soy
7857_165_S218_R1.fastq.gz,7857_165_S218_R2.fastq.gz,FF0165_yabajurushi_tsubu_jikomi_miso,miso,soy
7857_172_S219_R1.fastq.gz,7857_172_S219_R2.fastq.gz,FF0172_rejuvelac,kvass,grain/starch
7857_173_S220_R1.fastq.gz,7857_173_S220_R2.fastq.gz,FF0173_gt's_kombucha,vineger,fruit/sugar
7857_174_S221_R1.fastq.gz,7857_174_S221_R2.fastq.gz,FF0174_wildbrine_probiotic_sriracha,sriacha,vegetable
7857_175_S222_R1.fastq.gz,7857_175_S222_R2.fastq.gz,FF0175_huy_fong_sriracha_chili_sauce,chili sauce,fruit/sugar
7857_176_S223_R1.fastq.gz,7857_176_S223_R2.fastq.gz,FF0176_mani_pitted_castelvetrano_olives,olives,vegetable
7857_177_S224_R1.fastq.gz,7857_177_S224_R2.fastq.gz,FF0177_berkeley_bowl_kalamata_olives_pitted,olives,vegetable
7857_178_S225_R1.fastq.gz,7857_178_S225_R2.fastq.gz,FF0178_golden_state_pickle_works_cabbage_w/_caraway,sauerkraut,vegetable
