Date,BioRep,Plate,Row,Column,Dilution_factor,Sample_number,Substrate,Pre-treatment,Insult,Sample_type,raw_SEAP,raw_ IFN,raw_viability,normalized_SEAP,normalized_IFN,normalized_viability
20251114,1,BP010,H,8,10,FF0087,Soy,San-J Organic Tamari,LPS+,sample,1.076,2410,1.499,131.664,5.242,81.815
20251114,1,BP010,H,9,10,FF0100,Cabbage,Cultured Pickle Raw Vintage Kraut,LPS+,sample,1.039,7111,1.955,126.961,21.322,117.139
20251114,1,BP010,H,10,10,FF0102,Carrot,Cultured Pickle Carrots in Ginger Turmeric Brine,LPS+,sample,1.080,29439,1.661,132.135,97.695,94.331
20251114,1,BP010,H,11,10,blank,NA,PBS,LPS+,blank,0.900,38994,1.703,109.197,130.377,97.586
20251114,1,BP010,H,12,10,kill_control,NA,2.5% DMSO,LPS+,kill control,0.837,890,0.393,101.227,0.043,-3.906
20251114,1,BP011,A,1,10,FF0022,Soy,Seoulfully! Umami Korean Sauce,LPS+,sample,1.430,4638,2.138,161.919,11.299,142.661
20251114,1,BP011,A,2,10,FF0023,Soy,Seoulfully! Sweet & Savory Korean Sauce,LPS+,sample,1.430,8979,2.194,161.971,24.970,147.346
20251114,1,BP011,A,3,10,FF0024,Soy,Seoulfully! Smoky Korean Sauce,LPS+,sample,1.366,5738,2.504,154.485,14.763,173.041
20251114,1,BP011,A,4,10,FF0025,Soy,Seoulfully! Gochu Korean Sauce,LPS+,sample,1.354,11120,2.334,153.027,31.713,158.887
20251114,1,BP011,A,5,10,FF0034,Soy,Mellow White Miso,LPS+,sample,1.151,20297,2.200,129.431,60.615,147.827
20251114,1,BP011,A,6,10,FF0037,Soy,Sweet White Miso,LPS+,sample,1.100,19756,2.277,123.493,58.911,154.194
20251114,1,BP011,A,7,10,FF0039,Milk,Reggiano Parmesean,LPS+,sample,0.938,24451,1.979,104.481,73.698,129.494
20251114,1,BP011,A,8,10,FF0041,Milk,Point Reyes Bay Blue,LPS+,sample,0.919,21248,1.648,102.282,63.610,102.042
20251114,1,BP011,A,9,10,FF0040,Milk,Swiss Emmentaler,LPS+,sample,0.961,32382,1.841,107.242,98.676,118.044
20251114,1,BP011,A,10,10,FF0042,Milk,Roquefort blue cheese,LPS+,sample,1.011,38541,1.789,113.038,118.073,113.766
20251114,1,BP011,A,11,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.445,42809,1.850,46.944,131.515,118.832
20251114,1,BP011,A,12,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.514,44102,1.774,55.100,135.587,112.497
20251114,1,BP011,B,1,10,FF0022,Soy,Seoulfully! Umami Korean Sauce,LPS+,sample,1.410,3858,2.093,159.614,8.842,138.930
20251114,1,BP011,B,2,10,FF0023,Soy,Seoulfully! Sweet & Savory Korean Sauce,LPS+,sample,1.443,10340,2.053,163.468,29.256,135.613
20251114,1,BP011,B,3,10,FF0024,Soy,Seoulfully! Smoky Korean Sauce,LPS+,sample,1.405,7609,2.216,158.988,20.655,149.128
20251114,1,BP011,B,4,10,FF0025,Soy,Seoulfully! Gochu Korean Sauce,LPS+,sample,1.118,16864,2.136,125.504,49.803,142.520
20251114,1,BP011,B,5,10,FF0034,Soy,Mellow White Miso,LPS+,sample,1.057,19967,2.001,118.446,59.576,131.277
20251114,1,BP011,B,6,10,FF0037,Soy,Sweet White Miso,LPS+,sample,1.043,18375,2.109,116.805,54.562,140.281
