Sample Number	Sample	Substrate category	Food type	sample state	Source sample ID	Metabolomics	Metagenomics	NFkB_bioassay runs	RNAseq runs	ingredients	producer	producer_country	main ingredient	dominant_fermentation_chemistry	Sample notes	all_ingredients	main_ingredient_organic_status	producer	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0146	Wild West Ferments Signature Sauerkraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0146	yes	yes	3	3	organic cabbage, unrefined sea salt, organic cumin, organic coriander	Wild West Ferments	US	cabbage	lactic acid		organic cabbage, unrefined sea salt, organic cumin, organic coriander	organic	Wild West Ferments	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0147	Wild West Ferments Limited Edition Saerkraut, Green Garlic	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0147	yes	yes	1	0	organic cabbage, unrefined sea salt, green garlic	Wild West Ferments	US	cabbage	lactic acid		organic cabbage, unrefined sea salt, green garlic	organic	Wild West Ferments	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0148	Wild West Ferments El Curtido	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0148	yes	yes	1	0	organic carrot, organic radish, organic cabbage, organic jalapeño, organic onion, unrefined sea salt, organic garlic, organic herbs and spices	Wild West Ferments	US	cabbage	lactic acid		organic carrot, organic radish, organic cabbage, organic jalapeño, organic onion, unrefined sea salt, organic garlic, organic herbs and spices	organic	Wild West Ferments	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0149	Wildbrine Raw Organic Kraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0149	yes	yes	3	3	Organic Green Cabbage, Sea Salt, Organic Garlic	Wildbrine	US	cabbage	lactic acid		Organic Green Cabbage, Sea Salt, Organic Garlic	organic	Wildbrine	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0150	Sonoma Brinery Raw Sauerkraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0150	yes	yes	1	0	cabbage, salt	Sonoma Brinery	US	cabbage	lactic acid		cabbage, salt	not_organic	Sonoma Brinery	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0151	Farmhouse Culture Kraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0151	yes	yes	1	0	cabbage, salt	Farmhouse Culture	US	cabbage	lactic acid		organic cabbage, salt	organic	Farmhouse Culture	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0152	Cultured Raw Vintage Kraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0152	yes	no	1	1	organic green cabbage, caraway seed, juniper berries, organic green apples, sea salt	Cultured Pickle	US	cabbage	lactic acid		green cabbage, caraway seed, juniper berries, green apples, sea salt	organic	Cultured Pickle	lactic acid							
FF0153	Britt's Pickles	Vegetable - Cucumber	Dill pickle	ready to eat	FF0153	yes	yes	1	1	Cucumbers, Filtered Water, Onion*, Garlic*, Dill Seed, Sea Salt, Mustard Seed, White Peppercorns, Coriander, Bay Leaves, Turmeric	Britt’s Pickles	US	cucumber	lactic acid		Cucumbers, Filtered Water, Onion*, Garlic*, Dill Seed, Sea Salt, Mustard Seed, White Peppercorns, Coriander, Bay Leaves, Turmeric	not_organic	Britt’s Pickles	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0154	Sonoma Brinery Fresh Pickles, Manhatton Style	Vegetable - Cucumber	Dill pickle	ready to eat	FF0154	yes	yes	1	1	Cucumbers, Water, Salt, Garlic, Spices	Sonoma Brinery	US	cucumber	lactic acid		Cucumbers, Water, Salt, Garlic, Spices	not_organic	Sonoma Brinery	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0155	Bubbie'S Baby Kosher Dill Pickles	Vegetable - Cucumber	Dill pickle	ready to eat	FF0155	yes	yes	1	2	Cucumbers, Water, Salt, Garlic, Dill, Spices, Mustard Seed, Calcium Chloride	Bubbie’s	US	cucumber	lactic acid		Cucumbers, Water, Salt, Garlic, Dill, Spices, Mustard Seed, Calcium Chloride	not_organic	Bubbie’s	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0156	Cultured Classic Dills	Vegetable - Cucumber	Dill pickle	ready to eat	FF0156	yes	yes	1	1	organic cucumbers, sea salt, organic garlic, organic dill, organic mustard seeds, organic peppercorns	Cultured Pickle	US	cucumber	lactic acid		organic cucumbers, sea salt, organic garlic, organic dill, organic mustard seeds, organic peppercorns	organic	Cultured Pickle	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
